agency_id,agency_name,license_number,status,contact_info,city
AG206,Gulzar International,1294 / KAR,Active,,Karachi
AG207,The Guides,1296 / RWP,Active,,Rawalpindi
AG208,Travel Guide International,1297 / LHR,Active,,Lahore
AG209,American International,1300 / RWP,Active,,Rawalpindi
AG210,Yaqoob Sons Overseas Manpower Consultants,1304 / RWP,Active,,Rawalpindi
AG211,Shabnum Recruiting Agency,1306 / MLK,Active,,Malakand
AG212,Fahad Munir Ent.,1307 / SKT,Active,,Sialkot
AG213,S.I. Employment Agency,1310 / SKT,Active,,Sialkot
AG214,Ittehad Recruiting Agency,1311 / MLK,Active,,Malakand
AG215,Al-Shafa Corporation,1313 / KAR,Active,,Karachi
AG216,Kohistan Recruiting Agency,1319 / MLK,Active,,Malakand
AG217,Al-Faqir Recruiting Agency,1321 / MLK,Active,,Malakand
AG218,Namal International,1323 / MTN,Active,,
AG219,Bashir Ibrahim Enterprises,1328 / KAR,Active,,Karachi
AG220,Shardah Overseas Employment Services,1329 / RWP,Active,,Rawalpindi
AG221,Dera International,1333 / DGK,Active,,D.G. Khan
AG222,Dogar Trading Corporation,1338 / SKT,Active,,Sialkot
AG223,Pak Saudi Enterprises,1339 / RWP,Active,,Rawalpindi
AG224,Manpower Project Services,1341 / LHR,Active,,Lahore
AG225,Asian Star,1344 / RWP,Active,,Rawalpindi
AG226,Ayyaz International,1346 / LHR,Active,,Lahore
AG227,Shinwari House Recruiting Agency,1348 / MLK,Active,,Malakand
AG228,Al-Swan Enterprises,1352 / SKT,Active,,Sialkot
AG229,Shah Corporation,1353 / MLK,Active,,Malakand
AG230,Taj Mahal Recruiting Agency,1359 / ABT,Active,,Abbottabad
AG231,All World Recruiting Overseas Employment Agency,1361 / LHR,Active,,Lahore
AG232,Tanawal Overseas Employment Corporation,1365 / RWP,Active,,Rawalpindi
AG233,Nashat Recruiting Agency,1369 / MLK,Active,,Malakand
AG234,Al-Moula International Overseas Employment Promoter,1373 / GRT,Active,,Gujrat
AG235,Khawar Enterprises,1377 / RWP,Active,,Rawalpindi
AG236,Al-Hunain International,1379 / RWP,Active,,Rawalpindi
AG237,Maidan International,1383 / MLK,Active,,Malakand
AG238,Tajjak Corporation Overseas Employment Promoter,1389 / MLK,Active,,Malakand
AG239,Al Rehmat Manpower Bureau,1391 / SKT,Active,,Sialkot
AG240,Mumtaz Mukhtab Al-Amal,1392 / KAR,Active,,Karachi
AG241,Namrah International,1393 / MTN,Active,,
AG242,Overseas Promotion Agencies,1396 / RWP,Active,,Rawalpindi
AG243,Ghaffar International,1403 / MTN,Active,,
AG244,Trust Enterprises,1405 / KAR,Active,,Karachi
AG245,Pameer Recruiting Agency,1412 / MLK,Active,,Malakand
AG246,Zahara Saudi Enterprises Overseas Employment Promoter,1415 / MLK,Active,,Malakand
AG247,Al-Farid Traders,1418 / DGK,Active,,D.G. Khan
AG248,Miran Shah International Recruiting Agency,1421 / RWP,Active,,Rawalpindi
AG249,Fatimi International,1423 / RWP,Active,,Rawalpindi
AG250,Lodhi Sons International,1424 / RWP,Active,,Rawalpindi
AG251,Alam Travels,1425 / RWP,Active,,Rawalpindi
AG252,Marwan Corporation Overseas Employment Promoter,1427 / MLK,Active,,Malakand
AG253,Khurram Shahzad Company,1430 / MTN,Active,,
AG254,Jabbar Brothers,1436 / MLK,Active,,Malakand
AG255,Shafqat Enterprises,1438 / SKT,Active,,Sialkot
AG256,Aroma Associates,1442 / KAR,Active,,Karachi
AG257,Salma Enterprises,1445 / KAR,Active,,Karachi
AG258,Tauseef Associates,1451 / RWP,Active,,Rawalpindi
AG259,Al-Muzamil Recruiting Agency,1454 / LHR,Active,,Lahore
AG260,Sardar Sohail Javed,1460 / RWP,Active,,Rawalpindi
AG261,Citizen Associates,1461 / SKT,Active,,Sialkot
AG262,M. Wali Recruiting Agency,1463 / RWP,Active,,Rawalpindi
AG263,Utman Khel Recruiting Agency,1464 / MLK,Active,,Malakand
AG264,Zeerak Enterprises,1469 / RWP,Active,,Rawalpindi
AG265,Al-Madina Co,1472 / KAR,Active,,Karachi
AG266,N.A. Enterprises,1478 / RWP,Active,,Rawalpindi
AG267,Al-Sani International,1479 / RWP,Active,,Rawalpindi
AG268,Phalia International,1482 / RWP,Active,,Rawalpindi
AG269,Neway Overseas Manpower Consultant,1484 / RWP,Active,,Rawalpindi
AG270,Almas Traders & Contractors,1487 / RWP,Active,,Rawalpindi
AG271,Saroba Corporation,1492 / RWP,Active,,Rawalpindi
AG272,Shahban International,1495 / RWP,Active,,Rawalpindi
AG273,Dhanyal Overseas Employment Promoter,1499 / RWP,Active,,Rawalpindi
AG274,Pakeeza Corporation,1501 / MTN,Active,,
AG275,Rahnuma Enterprises,1502 / RWP,Active,,Rawalpindi
AG276,Great View,1505 / RWP,Active,,Rawalpindi
AG277,Charat Recruiting Agency,1513 / MLK,Active,,Malakand
AG278,Peshawar Overseas Traders,1519 / PWR,Active,,
AG279,Attash International,1524 / RWP,Active,,Rawalpindi
AG280,Al-Hijaz Overseas Manpower Supply,1527 / RWP,Active,,Rawalpindi
AG281,Al- Fazil Enterprises,1534 / SKT,Active,,Sialkot
AG282,Al-Kurdee Traders,1536 / KAR,Active,,Karachi
AG283,Holiday International,1538 / MLK,Active,,Malakand
AG284,Razmak Recruiting Agency,1545 / RWP,Active,,Rawalpindi
AG285,Shah Jahan International,1549 / MTN,Active,,
AG286,Qabail Recruiting Agency,1550 / RWP,Active,,Rawalpindi
AG287,Al Asmat Enteterprises,1555 / SKT,Active,,Sialkot
AG288,Shahdara International Services,1557 / LHR,Active,,Lahore
AG289,Al-Arooj International,1559 / LHR,Active,,Lahore
AG290,Hadia Recruiting Agency,1564 / MLK,Active,,Malakand
AG291,Avari International,1572 / RWP,Active,,Rawalpindi
AG292,Melhi International,1573 / GRT,Active,,Gujrat
AG293,Wali International OEP,1578 / LHR,Active,,Lahore
AG294,Tehseen Enterprises,1579 / GRT,Active,,Gujrat
AG295,Mohra Sharif Recruiting Agency,1581 / GRT,Active,,Gujrat
AG296,Supra Enterprises,1582 / RWP,Active,,Rawalpindi
AG297,Arusa International,1585 / SKT,Active,,Sialkot
AG298,Qazi Enterprises,1587 / RWP,Active,,Rawalpindi
AG299,Mong Star Overseas Employment Promoters,1589 / GRT,Active,,Gujrat
AG300,Zarqa International Recruiting Agency,1591 / RWP,Active,,Rawalpindi
AG301,Sahiwal Enterprises,1593 / MTN,Active,,
AG302,Noshi International Recruiting Agency,1594 / MTN,Active,,
AG303,Trueman Enterprises,1597 / LHR,Active,,Lahore
AG304,Active Recruiting Agency,1598 / RWP,Active,,Rawalpindi
AG305,Gizan International,1603 / RWP,Active,,Rawalpindi
AG306,Tila Recruiting Agency,1604 / PWR,Active,,
AG307,Al-Baz Corporation,1605 / DGK,Active,,D.G. Khan
